1,Bob,GERMANY,true
3,David,ITALY,true
8,Mia,ITALY,true
10,Alice,FRANCE,true
11,Bob,GERMANY,true
14,Eve,PORTUGAL,true
15,John,FRANCE,true
18,Mia,ITALY,true
19,Noah,PORTUGAL,true
20,Alice,FRANCE,true
21,Bob,GERMANY,true
22,Carla,SPAIN,true
23,David,ITALY,true
24,Eve,PORTUGAL,true
25,John,FRANCE,true
26,Emma,GERMANY,true
30,Alice,FRANCE,true
31,Bob,GERMANY,true
36,Emma,GERMANY,true
37,Leo,SPAIN,true
38,Mia,ITALY,true
42,Carla,SPAIN,true
43,David,ITALY,true
44,Eve,PORTUGAL,true
45,John,FRANCE,true
47,Leo,SPAIN,true
49,Noah,PORTUGAL,true
51,Bob,GERMANY,true
52,Carla,SPAIN,true
53,David,ITALY,true
57,Leo,SPAIN,true
58,Mia,ITALY,true
59,Noah,PORTUGAL,true
60,Alice,FRANCE,true
61,Bob,GERMANY,true
62,Carla,SPAIN,true
65,John,FRANCE,true
67,Leo,SPAIN,true
68,Mia,ITALY,true
71,Bob,GERMANY,true
72,Carla,SPAIN,true
74,Eve,PORTUGAL,true
75,John,FRANCE,true
76,Emma,GERMANY,true
78,Mia,ITALY,true
80,Alice,FRANCE,true
83,David,ITALY,true
86,Emma,GERMANY,true
87,Leo,SPAIN,true
90,Alice,FRANCE,true
91,Bob,GERMANY,true
95,John,FRANCE,true
97,Leo,SPAIN,true
98,Mia,ITALY,true
103,David,ITALY,true
104,Eve,PORTUGAL,true
105,John,FRANCE,true
106,Emma,GERMANY,true
107,Leo,SPAIN,true
108,Mia,ITALY,true
109,Noah,PORTUGAL,true
111,Bob,GERMANY,true
114,Eve,PORTUGAL,true
116,Emma,GERMANY,true
117,Leo,SPAIN,true
120,Alice,FRANCE,true
122,Carla,SPAIN,true
123,David,ITALY,true
124,Eve,PORTUGAL,true
127,Leo,SPAIN,true
129,Noah,PORTUGAL,true
130,Alice,FRANCE,true
135,John,FRANCE,true
136,Emma,GERMANY,true
138,Mia,ITALY,true
140,Alice,FRANCE,true
145,John,FRANCE,true
146,Emma,GERMANY,true
148,Mia,ITALY,true
151,Bob,GERMANY,true
152,Carla,SPAIN,true
153,David,ITALY,true
154,Eve,PORTUGAL,true
155,John,FRANCE,true
156,Emma,GERMANY,true
158,Mia,ITALY,true
159,Noah,PORTUGAL,true
160,Alice,FRANCE,true
161,Bob,GERMANY,true
163,David,ITALY,true
166,Emma,GERMANY,true
167,Leo,SPAIN,true
170,Alice,FRANCE,true
171,Bob,GERMANY,true
173,David,ITALY,true
174,Eve,PORTUGAL,true
175,John,FRANCE,true
176,Emma,GERMANY,true
177,Leo,SPAIN,true
179,Noah,PORTUGAL,true
181,Bob,GERMANY,true
182,Carla,SPAIN,true
185,John,FRANCE,true
189,Noah,PORTUGAL,true
191,Bob,GERMANY,true
193,David,ITALY,true
194,Eve,PORTUGAL,true
195,John,FRANCE,true
196,Emma,GERMANY,true
198,Mia,ITALY,true
200,Alice,FRANCE,true
202,Carla,SPAIN,true
203,David,ITALY,true
